id,date1,date2,lon1,lat1,lon2,lat2,towlength,depth,temperature,strata
29918,1985-03-10T20:14:00Z,1985-03-10T21:17:00Z,-15.4143333333333,66.4028333333333,-15.4856666666667,66.4683333333333,4,119.5,3.6,57
29783,1985-03-10T20:55:00Z,1985-03-10T22:22:00Z,-13.3,64.0833333333333,-13.4333333333333,64.0666666666667,3.7,194,5.3,63
30047,1985-03-10T22:25:00Z,1985-03-10T23:30:00Z,-20,66.2166666666667,-20,66.2833333333333,4,144,4.4,54
29917,1985-03-10T22:43:00Z,1985-03-10T23:47:00Z,-15.1263333333333,66.4333333333333,-15.0083333333333,66.4815,4.1,105,3.5,57
30046,1985-03-11T00:30:00Z,1985-03-11T01:35:00Z,-19.7833333333333,66.3166666666667,-19.7708333333333,66.3858333333333,4,190,4.2,54
29916,1985-03-11T01:14:00Z,1985-03-11T02:18:00Z,-15.4023333333333,66.5041666666667,-15.5505,66.5343333333333,4,145.5,3.8,57
29718,1985-03-11T01:15:00Z,1985-03-11T02:25:00Z,-24.6973333333333,65.2633333333333,-24.7136666666667,65.1978333333333,4,92.5,5.2,49
30045,1985-03-11T02:25:00Z,1985-03-11T03:35:00Z,-19.6245,66.3583333333333,-19.6033333333333,66.2916666666667,4,192.5,3.9,55
29717,1985-03-11T03:35:00Z,1985-03-11T04:45:00Z,-24.8526666666667,65.2391666666667,-24.878,65.1666666666667,4,101.5,5.4,49
29915,1985-03-11T03:43:00Z,1985-03-11T04:50:00Z,-15.1015,66.5841666666667,-15.268,66.565,4,156,3.7,57
30044,1985-03-11T04:25:00Z,1985-03-11T06:05:00Z,-19.6,66.25,-19.7686666666667,66.225,4,202.5,3.8,54
29914,1985-03-11T05:22:00Z,1985-03-11T06:46:00Z,-15.4501666666667,66.5863333333333,-15.35,66.6376666666667,4,179,NA,57
29716,1985-03-11T05:42:00Z,1985-03-11T06:42:00Z,-25,65.168,-25,65.1,4,122.5,5.5,51
30043,1985-03-11T07:40:00Z,1985-03-11T08:40:00Z,-19.7833333333333,66.0833333333333,-19.6433333333333,66.1228333333333,4,144,3.2,54
29913,1985-03-11T08:04:00Z,1985-03-11T09:08:00Z,-15.65,66.6836666666667,-15.561,66.6308333333333,3.8,210,NA,57
30042,1985-03-11T10:30:00Z,1985-03-11T11:35:00Z,-19.7833333333333,65.9333333333333,-19.8333333333333,66,4,99,3,53
29912,1985-03-11T11:10:00Z,1985-03-11T12:14:00Z,-15.8351666666667,66.7313333333333,-15.6691666666667,66.6666666666667,4,142.5,NA,57
30041,1985-03-11T12:25:00Z,1985-03-11T13:20:00Z,-19.9,66,-19.8,66.05,4,114,3,53
29911,1985-03-11T13:18:00Z,1985-03-11T14:20:00Z,-15.3996666666667,66.7463333333333,-15.5563333333333,66.7198333333333,4,231.5,NA,58
30040,1985-03-11T13:55:00Z,1985-03-11T14:55:00Z,-19.9,66.0833333333333,-19.85,66.15,4,162,3.8,54
29910,1985-03-11T15:44:00Z,1985-03-11T16:48:00Z,-15.1853333333333,66.7318333333333,-15.1786666666667,66.8015,4,153.5,NA,57
30039,1985-03-11T17:00:00Z,1985-03-11T18:05:00Z,-19.1666666666667,66.1833333333333,-19.15,66.25,4,103.5,3.6,54
29779,1985-03-11T17:10:00Z,1985-03-11T18:15:00Z,-25.8166666666667,65.325,-25.9416666666667,65.285,4.1,143.5,5.6,51
29909,1985-03-11T17:58:00Z,1985-03-11T19:05:00Z,-15.1973333333333,66.9318333333333,-15.048,66.9705,4,141,NA,57
29782,1985-03-11T18:35:00Z,1985-03-11T19:55:00Z,-13.55,64.0666666666667,-13.5,64.1333333333333,4,144,5.8,63
29778,1985-03-11T19:05:00Z,1985-03-11T20:10:00Z,-25.8733333333333,65.2481666666667,-26.0166666666667,65.2083333333333,4,152.5,NA,51
30038,1985-03-11T19:30:00Z,1985-03-11T20:35:00Z,-19.4,66.3333333333333,-19.2333333333333,66.3333333333333,4,157.5,3.7,54
29908,1985-03-11T20:30:00Z,1985-03-11T21:33:00Z,-15.4628333333333,66.9183333333333,-15.6213333333333,66.9393333333333,4,179,NA,58
29781,1985-03-11T20:50:00Z,1985-03-11T22:00:00Z,-13.4,64.1166666666667,-13.45,64.1833333333333,4.5,162,3.5,63
30037,1985-03-11T21:20:00Z,1985-03-11T22:30:00Z,-19.05,66.3333333333333,-19.0833333333333,66.4,4,207,4,55
29777,1985-03-11T22:15:00Z,1985-03-11T23:23:00Z,-25.63,65.0083333333333,-25.8,65.0083333333333,4,169.5,4.1,51
30035,1985-03-11T23:05:00Z,1985-03-11T00:15:00Z,-15.9218333333333,66.7998333333333,-15.8885,66.8678333333333,4,270.5,NA,57
29780,1985-03-11T23:10:00Z,1985-03-11T00:18:00Z,-13.35,64.3166666666667,-13.45,64.3666666666667,4,133.5,4.8,63
30036,1985-03-11T23:45:00Z,1985-03-11T01:00:00Z,-18.8,66.3666666666667,-18.9033333333333,66.4233333333333,4,415.5,2.7,55
29907,1985-03-12T00:55:00Z,1985-03-12T02:10:00Z,-13.4,64.3333333333333,-13.55,64.3,4,182,4.7,63
29775,1985-03-12T02:12:00Z,1985-03-12T03:22:00Z,-26.155,65.1586666666667,-26.2558333333333,65.1116666666667,4,165.5,3.5,51
30163,1985-03-12T02:45:00Z,1985-03-12T03:45:00Z,-18.3666666666667,66.4333333333333,-18.3666666666667,66.5,4,130.5,3.7,54
29906,1985-03-12T02:45:00Z,1985-03-12T03:40:00Z,-13.5666666666667,64.3,-13.6833333333333,64.35,4,139,3.6,63
30034,1985-03-12T02:59:00Z,1985-03-12T04:08:00Z,-16.8336666666667,67.0001666666667,-16.6566666666667,67.0006666666667,3.9,250.5,NA,58
29774,1985-03-12T04:19:00Z,1985-03-12T05:24:00Z,-26.418,65.1611666666667,-26.57,65.14,4,173.5,4,51
29905,1985-03-12T04:20:00Z,1985-03-12T05:30:00Z,-13.5666666666667,64.3666666666667,-13.5833333333333,64.4333333333333,4,137.5,3.7,63
30033,1985-03-12T05:26:00Z,1985-03-12T06:37:00Z,-16.9001666666667,67.1006666666667,-16.717,67.1008333333333,4.1,370,NA,58
29904,1985-03-12T06:15:00Z,1985-03-12T07:15:00Z,-13.5333333333333,64.4833333333333,-13.3833333333333,64.4666666666667,4,160.5,4.6,63
29773,1985-03-12T06:42:00Z,1985-03-12T07:45:00Z,-26.2566666666667,65.0166666666667,-26.2666666666667,65.0166666666667,3.6,170,3.9,51
30162,1985-03-12T07:05:00Z,1985-03-12T08:05:00Z,-18.35,66.0833333333333,-18.4166666666667,66.0166666666667,4,101.5,3.3,54
29903,1985-03-12T08:30:00Z,1985-03-12T09:16:00Z,-13.7666666666667,64.4166666666667,-13.9,64.4,3.8,114.5,3,63
30032,1985-03-12T09:17:00Z,1985-03-12T10:20:00Z,-15.7485,67.134,-15.5861666666667,67.135,4,211.5,3.8,58
30161,1985-03-12T09:50:00Z,1985-03-12T10:50:00Z,-18.2666666666667,65.9666666666667,-18.35,66.0333333333333,4,101.5,3.3,53
29713,1985-03-12T09:55:00Z,1985-03-12T11:00:00Z,-24.5251666666667,64.4841666666667,-24.381,64.5171666666667,4,52.5,NA,50
29772,1985-03-12T10:00:00Z,1985-03-12T11:15:00Z,-27.0648333333333,65.0428333333333,-27.1846666666667,65.0103333333333,4,282.5,4.1,21
29902,1985-03-12T10:05:00Z,1985-03-12T11:05:00Z,-13.7666666666667,64.3333333333333,-13.8,64.2666666666667,4,139,3.2,63
30031,1985-03-12T11:51:00Z,1985-03-12T13:00:00Z,-15.7483333333333,66.9956666666667,-15.7505,67.0651666666667,4,160,3.5,58
29712,1985-03-12T12:05:00Z,1985-03-12T13:10:00Z,-24.5606666666667,64.555,-24.6625,64.5816666666667,4,230,NA,21
30160,1985-03-12T12:15:00Z,1985-03-12T13:25:00Z,-18.6208333333333,66.2055,-18.6833333333333,66.2666666666667,4,238.5,4.4,54
29901,1985-03-12T12:55:00Z,1985-03-12T13:40:00Z,-14.25,64.2833333333333,-14.2166666666667,64.3333333333333,2.4,107.5,5.1,62
29771,1985-03-12T13:00:00Z,1985-03-12T14:15:00Z,-27.0016666666667,65.1816666666667,-26.995,65.2505,4,241,4.6,21
29711,1985-03-12T14:00:00Z,1985-03-12T15:05:00Z,-24.6978333333333,64.5911666666667,-24.5478333333333,64.6166666666667,4,260,4,21
30159,1985-03-12T14:40:00Z,1985-03-12T15:45:00Z,-18.3,66.25,-18.3833333333333,66.3,4,175.5,3.2,54
29900,1985-03-12T15:05:00Z,1985-03-12T16:15:00Z,-14.25,64.4333333333333,-14.3166666666667,64.3666666666667,4,78,1.4,62
30030,1985-03-12T15:30:00Z,1985-03-12T16:36:00Z,-15.2015,67,-15.2048333333333,67.0693333333333,4,169,3.7,57
29770,1985-03-12T15:40:00Z,1985-03-12T17:00:00Z,-27.005,65.3625,-27.0003333333333,65.4216666666667,4.1,283.5,4.4,21
30158,1985-03-12T16:15:00Z,1985-03-12T17:15:00Z,-18.45,66.3333333333333,-18.45,66.4,4,162,3.4,55
29710,1985-03-12T16:30:00Z,1985-03-12T17:30:00Z,-24.2083333333333,64.6641666666667,-24.2688333333333,64.7195,3.7,130,5,50
29899,1985-03-12T17:15:00Z,1985-03-12T18:15:00Z,-14.5333333333333,64.2666666666667,-14.5333333333333,64.2,4,120,4.2,62
30029,1985-03-12T17:43:00Z,1985-03-12T18:48:00Z,-14.9535,67.0846666666667,-14.862,67.0286666666667,4,218.5,3.8,58
29769,1985-03-12T18:06:00Z,1985-03-12T19:10:00Z,-26.7026666666667,65.3915,-26.5405,65.4368333333333,4,191,4.4,51
29898,1985-03-12T18:50:00Z,1985-03-12T19:50:00Z,-14.4666666666667,64.1833333333333,-14.3833333333333,64.1666666666667,4,143.5,NA,63
30157,1985-03-12T19:35:00Z,1985-03-12T20:35:00Z,-18.1166666666667,66.45,-18.2333333333333,66.4,4,69.5,2.9,53
30028,1985-03-12T20:20:00Z,1985-03-12T21:28:00Z,-14.4498333333333,67.03,-14.611,67.0648333333333,4,231,3.5,58
29892,1985-03-12T20:25:00Z,1985-03-12T21:35:00Z,-26.4376666666667,65.3513333333333,-26.4343333333333,65.425,4.1,191,3.6,51
29897,1985-03-12T21:00:00Z,1985-03-12T22:07:00Z,-14.7,64.0833333333333,-14.85,64.05,4.2,111.5,5,63
30027,1985-03-12T22:54:00Z,1985-03-12T23:56:00Z,-14.8076666666667,66.9156666666667,-14.645,66.9146666666667,4,174.5,3.4,57
29891,1985-03-12T22:55:00Z,1985-03-12T23:55:00Z,-26.2083333333333,65.5213333333333,-26.2266666666667,65.5896666666667,4.2,162,3.8,84
29896,1985-03-12T23:15:00Z,1985-03-12T00:30:00Z,-14.85,63.9166666666667,-14.8333333333333,63.85,4,162,5.8,66
29776,1985-03-12T23:50:00Z,1985-03-12T01:00:00Z,-25.865,65.038,-26.059,65.0516666666667,4,172,4,51
29709,1985-03-13T00:50:00Z,1985-03-13T01:50:00Z,-24.1616666666667,64.874,-24.248,64.8226666666667,4,172,4,21
29890,1985-03-13T00:55:00Z,1985-03-13T01:55:00Z,-26.1528333333333,65.6711666666667,-26.3126666666667,65.653,3.5,176,3.6,84
30026,1985-03-13T01:19:00Z,1985-03-13T02:29:00Z,-14.8356666666667,66.833,-15.0015,66.8668333333333,4,120,3.3,57
30156,1985-03-13T01:30:00Z,1985-03-13T02:40:00Z,-17.2833333333333,66.6833333333333,-17.3,66.6166666666667,4,172.5,3.4,38
29895,1985-03-13T01:45:00Z,1985-03-13T02:30:00Z,-14.6833333333333,63.7166666666667,-14.6833333333333,63.6833333333333,2.7,165,5.6,5
30025,1985-03-13T03:29:00Z,1985-03-13T04:33:00Z,-14.8011666666667,66.7495,-14.865,66.6843333333333,4.1,158,3.4,57
29889,1985-03-13T03:33:00Z,1985-03-13T04:27:00Z,-26.76,65.58,-26.6883333333333,65.6366666666667,3.3,208.5,4.2,88
30155,1985-03-13T03:55:00Z,1985-03-13T04:05:00Z,-17.4,66.75,-17.2,66.75,4,249,3.4,38
