"","sample.id","length","age","sex","maturity","ungutted","gutted","liver","gonad"
"175",214669,6.4,NA,NA,NA,1.9,NA,NA,NA
"176",76840,83,7,"Males","2",6720,5030,NA,NA
"177",337869,71,NA,"Females","4",3116,2379,44,NA
"178",368779,95,8,"Females","22",8625,6285,579,1212
"179",256871,84,6,"Males","2",5134,4075,339,476
"180",76814,104,9,"Females","4",10150,8250,NA,NA
"181",428795,106,10,"Males","3",10690,8070,765,1245
"182",86046,75,6,"Females","1",3348,3108,NA,NA
"183",345529,48,4,"Females","1",934,791,50,NA
"184",411955,79,7,"Males","3",4440,3660,230,NA
"185",128554,92,NA,"Males","2",6485,5436,424,425
"186",219638,60,4,"Males","1",1739,1536,109,NA
"187",283565,91,8,"Females","2",7920,6170,431,957
"188",73609,28,2,"Males","1",196,174,7,NA
"189",27007,21,1,NA,NA,72,65,NA,NA
"190",214858,6,NA,NA,NA,1.4,NA,NA,NA
"191",100577,107,9,"Females","2",13055,10315,NA,NA
"192",88980,73,5,"Males","3",3210,2654,NA,NA
"193",140373,50,5,"Males","1",960,827,25,NA
"194",323896,6.9,NA,NA,NA,2.1,NA,NA,NA
"195",304611,91,7,"Males","3",7935,6005,415,NA
"196",317974,69,7,"Males","3",3562,3050,146,NA
"197",328257,57,4,NA,NA,1552,NA,NA,NA
"198",280604,38,3,"Males","1",614,461,23,NA
"199",86051,57,5,"Males","2",1663,1453,NA,NA
"200",215580,78,8,"Males","4",4494,3988,252,NA
"201",265666,71,NA,"Females","4",2529,2267,NA,NA
"202",17883,80,NA,"Males","2",4588,3736,NA,NA
"203",411869,97,9,NA,NA,6900,NA,NA,NA
"204",185605,101,10,"Females","2",10430,7735,717,1064
"205",159207,71,NA,NA,NA,3670,NA,NA,NA
"206",219931,48,3,"Females","1",978,828,49,NA
"207",134214,65,4,"Males","1",2090,1782,104,NA
"208",365040,40,3,"Males","1",525,442,26,NA
"209",203861,36,3,"Males","1",348,300,10,NA
"210",72056,63,5,NA,NA,2591,NA,NA,NA
"211",436105,30,3,"Males","1",220,197,6,NA
"212",282982,79,7,NA,NA,4890,NA,NA,NA
"213",340061,58,4,"Females","1",1555,1420,35,NA
"214",142418,92,8,"Females","2",8275,6615,374,848
"215",141176,81,7,"Males","2",5980,4408,468,777
"216",304121,87,8,NA,NA,7040,NA,NA,NA
"217",118428,22,2,"Males","1",75,66,3,NA
"218",115990,87,7,"Females","3",6695,4770,NA,NA
"219",394919,56,5,"Males","1",1587,1324,82,NA
"220",325224,110,8,"Females","4",13160,11555,683,NA
"221",134188,81,7,"Females","4",4646,4020,328,NA
"222",394928,25,2,"Females","1",123,111,3,NA
"223",186477,97,8,"Males","3",8195,6875,444,481
"224",385586,51,NA,"Males","4",1067,959,NA,NA
"225",345880,59,4,"Males","1",1861,1674,39,NA
"226",191494,84,7,"Females","4",6300,5540,256,NA
"227",173617,46,2,"Males","1",818,658,26,NA
"228",63859,120,11,"Males","3",15300,NA,1194,2509
"229",116708,91,7,"Males","2",7430,6045,NA,854
"230",371807,83,10,"Males","3",4404,3760,304,NA
"231",420642,23,1,"Males","1",88,80,3,NA
"232",379226,25,2,"Males","1",142,129,1,NA
"233",254015,64,5,"Males","2",2557,1910,270,159
"234",335889,83,7,"Males","3",4844,3994,347.9,NA
"235",118210,33,2,"Males","1",330,300,10,NA
"236",359215,96,NA,NA,NA,7030,6005,382,NA
"237",75414,84,7,"Males","2",4530,4028,NA,NA
"238",364725,90,8,"Females","2",7485,5833.9,795,644
"239",120598,82,7,"Females","2",5740,4298,505,734
"240",205068,48,NA,"Males","1",1231,921,39,NA
"241",195941,60,5,"Males","4",1757,1464,99,NA
"242",405699,53,4,"Males",NA,1300,NA,NA,NA
"243",62685,37,3,"Males","1",412,363,17,NA
"244",399371,60,5,"Females","4",2000,NA,NA,15
"245",67728,84,6,"Females","2",6500,4858,253,453
"246",129467,69,NA,"Males","3",2547,2141,100,141
"247",71695,82,7,"Females","4",5580,4932,403,NA
"248",305799,56,5,"Males","1",1437,1313,72,NA
"249",267976,56,4,"Males","4",1426,1240,44,NA
"250",75523,103,6,"Females","2",12830,10215,NA,NA
"251",265673,78,NA,"Females","1",3866,3534,NA,NA
"252",317059,107,8,"Females","22",15695,11185,646,3284
"253",358548,83,8,"Males","2",4806,4058,366,161
"254",141192,91,9,"Females","2",8225,6495,665,786
"255",415555,52,5,NA,NA,1495,NA,NA,NA
"256",100089,73,5,"Males","1",3238,2800,124,NA
"257",425686,71,6,"Males","2",3780,2950,310,400
"258",358079,104,10,"Females","4",11365,9775,813,NA
"259",183310,69,6,"Females","22",3206,2451,256,326
"260",330988,13,1,NA,NA,14,NA,NA,NA
"261",370207,91,7,"Females","2",7135,5538,393,875
"262",62560,58,4,"Males","1",1712,1457,87,NA
"263",207945,85,6,"Females","22",6055,4548,199,995
"264",86806,68,6,"Males","1",3170,2487,388,NA
"265",185118,96,8,"Males","3",8200,7255,302,310
"266",304590,52,4,"Males","2",1475,1266.9,32,67
"267",281063,56,NA,"Females","2",1743,1421,140.9,97
"268",159191,42,NA,NA,NA,734,NA,NA,NA
"269",113629,76,7,"Males","2",4452,3548,301,441
"270",15535,65,NA,NA,NA,2800,2400,NA,NA
"271",406031,70,NA,NA,NA,2892.9,2525.9,161,NA
"272",56503,96,8,"Males","2",8360,6740,179,NA
"273",70616,44,NA,"Males","1",632,534,40,NA
"274",73529,46,3,"Males","1",840,711,64,NA
"275",73947,88,6,"Females","2",5832,4602,492,504
"276",340455,42,3,"Females","1",583,522,NA,NA
"277",330553,48,4,"Females","1",1015,700,60,NA
"278",230184,49,4,"Females","1",1159,931,80,NA
"279",398243,81,8,"Males","2",6145,4738,545,645
"280",385565,46,NA,"Females","1",759,705,NA,NA
"281",413671,83,9,"Males","2",5160,4195,208,514
"282",385217,71,7,"Females","4",3212,2505.9,101,NA
"283",254082,62,5,"Males","1",2343,1841,63,NA
"284",365145,98,7,"Females","2",10805,7715,1112,930
"285",370273,87,8,"Males","3",6310,4875,384,770
"286",312531,48,3,"Females","1",1234,1073,53,NA
"287",208372,90,9,"Females","32",5100,4540,121,NA
"288",233602,59,5,"Females","1",1553,1421,58,NA
"289",411578,59,5,"Males","1",1768,1460,85,NA
"290",324971,19,1,NA,NA,50,NA,NA,NA
"291",56811,42,4,"Males","1",690,583,20,NA
"292",414810,105,11,"Males","2",11560,8040,870,2055
"293",159169,42,NA,NA,NA,775,NA,NA,NA
"294",345619,52,4,"Males","4",1594,1268,103,NA
"295",434663,92,8,"Females","4",6955,6035,400,NA
"296",173877,61,4,"Males","5",1792,1547,97,NA
"297",119162,69,6,"Females","2",2863,2496,148,98
"298",247417,74,9,"Males","2",4038,3522,253,35
"299",109111,61,3,"Females",NA,2090,1918,NA,NA
"300",167331,31,NA,"Females","1",227,207,3,NA
"301",365049,39,4,"Males","1",547,458,31,NA
"302",406433,99,7,"Females","4",10850,8235,1135,200
"303",406772,42,4,"Males","1",650,584,18,NA
"304",324932,69,6,"Females","2",2971,2537.9,150,34
"305",412024,105,10,"Females","2",11375,8505,1275,1075
"306",118658,26,2,"Females","1",130,112,4,NA
"307",192305,4.4,NA,NA,NA,0.7,NA,NA,NA
