eurostat,ices19502010,ices19031949,eurostat_long,comment
27_7_H,VII h,,"Atlantic, Northeast / 27.7.h",
27_7_J,,,"Atlantic, Northeast / 27.7.j",
27_7_J_1,VII j1,,"Atlantic, Northeast / 27.7.j.1",
27_7_J_2,VII j2,,"Atlantic, Northeast / 27.7.j.2",
27_7_J_NK,VII j (not specified),,"Atlantic, Northeast / 27.7.j (not specified)",
27_7_K,,,"Atlantic, Northeast / 27.7.k",
27_7_K_1,VII k1,,"Atlantic, Northeast / 27.7.k.1",
27_7_K_2,VII k2,,"Atlantic, Northeast / 27.7.k.2",
27_7_K_NK,VII k (not specified),,"Atlantic, Northeast / 27.7.k (not specified)",
27_7_NK,VII (not specified),,"Atlantic, Northeast / 27.7 (not specified)",
27_8,,VIII,"Atlantic, Northeast / 27.8",
27_8_A,VIII a,VIIIa,"Atlantic, Northeast / 27.8.a",
27_8_AB,,"VIIIa,b",,added
27_8_B,VIII b,,"Atlantic, Northeast / 27.8.b",
27_8_C,VIII c,,"Atlantic, Northeast / 27.8.c",
27_8_D,,,"Atlantic, Northeast / 27.8.d",
27_8_D_1,VIII d1,,"Atlantic, Northeast / 27.8.d.1",
27_8_D_2,VIII d2,,"Atlantic, Northeast / 27.8.d.2",
27_8_D_NK,VIII d (not specified),,"Atlantic, Northeast / 27.8.d (not specified)",
27_8_E,,,"Atlantic, Northeast / 27.8.e",
27_8_E_1,VIII e1,,"Atlantic, Northeast / 27.8.e.1",
27_8_E_2,VIII e2,,"Atlantic, Northeast / 27.8.e.2",
27_8_E_NK,VIII e (not specified),,"Atlantic, Northeast / 27.8.e (not specified)",
27_8_NK,VIII (not specified),,"Atlantic, Northeast / 27.8 (not specified)",
27_9,,IX,"Atlantic, Northeast / 27.9",
27_9_A,IX a,IXa,"Atlantic, Northeast / 27.9.a",
27_9_B,,,"Atlantic, Northeast / 27.9.b",
27_9_B_1,IX b1,,"Atlantic, Northeast / 27.9.b.1",
27_9_B_2,IX b2,,"Atlantic, Northeast / 27.9.b.2",
27_9_B_NK,IX b (not specified),,"Atlantic, Northeast / 27.9.b (not specified)",
27_9_NK,IX (not specified),,"Atlantic, Northeast / 27.9 (not specified)",
27_NK,,UNK,"Atlantic, Northeast (not specified)",
ambiguous,V a+b1  (not specified),,,
ambiguous,I  and  IIa (not specified),,,
ambiguous,IIIa  and  IV  (not specified),,,
ambiguous,IIIa  and  IVa+b  (not specified),,,
ambiguous,,"IIIa,IV",,
ambiguous,,"IIIa,IVc",,
ambiguous,,"IV,VII",,
