"whale.id","date.caught","lon","lat","area","length","weight","age","sex","maturity","stomach.volume","stomach.weight","year"
21053,"2007-05-21 16:00:00",-13.54,65.1866666666667,"North",704,NA,8.1,"Female","immature",50,13.078,2007
21054,"2007-05-15 20:00:00",-15.9666666666667,64.0883333333333,"South",773,NA,13.9,"Female","pregnant",33,14.4516017316017,2007
21055,"2007-08-26 15:00:00",-22.8033333333333,65.985,"North",717,4062,NA,"Female","pregnant",50,34.65,2007
21057,"2007-04-27 16:00:00",-21.4933333333333,65.665,"North",735,3361,10,"Female","pregnant",50,26.85,2007
21058,"2007-04-28 15:00:00",-20.995,65.4548333333333,"North",814,4520,20.2,"Female","pregnant",110,3.75,2007
21063,"2007-08-27 15:00:00",-22.8033333333333,65.985,"North",682,4165,11.2,"Female","pregnant",3,0.188,2007
21065,"2007-08-28 18:00:00",-21.945,66.2733333333333,"North",840,5301,27.5,"Female","pregnant",23,0.8,2007
21066,"2007-08-29 13:00:00",-21.9183333333333,66.2883333333333,"North",838,5685,22.6,"Female","pregnant",130,19.7,2007
21068,"2007-09-02 16:00:00",-23.5283333333333,64.6983333333333,"South",731,4358,16.3,"Male","mature",70,17.845,2007
21069,"2007-05-09 10:00:00",-22.3786666666667,64.3011666666667,"South",803,NA,21.3,"Male","mature",15,11.64,2007
21070,"2007-05-14 20:00:00",-22.6476666666667,64.282,"South",701,NA,14.9,"Male","mature",12.5,16.58,2007
21072,"2007-05-15 16:00:00",-23.0976666666667,64.234,"South",802,NA,32.9,"Male","mature",10,0,2007
